Date,Open,High,Low,Close,Volume
2024-07-24,2408.86,2431.81,2393.18,2398.63,3578
2024-07-25,2398.75,2399.89,2353.24,2364.1,3581
2024-07-26,2363.99,2390.21,2356.14,2386.6,3284
2024-07-28,2386.6,2402.17,2386.6,2396.45,264
2024-07-29,2397.17,2402.24,2369.86,2381.06,3593
2024-07-30,2380.88,2412.27,2376.3,2409.62,3589
2024-07-31,2409.74,2450.56,2404.22,2445.84,3581
2024-08-01,2445.94,2461.49,2430.25,2445.86,3568
2024-08-02,2444.91,2476.93,2411.83,2442.08,3244
2024-08-04,2442.08,2446.22,2437.8,2440.76,263
2024-08-05,2440.7,2457.18,2364.71,2404.79,3543
2024-08-06,2405.4,2417.77,2381.81,2384.05,3579
2024-08-07,2384.37,2406.61,2379.39,2384.72,3595
2024-08-08,2384.8,2427.37,2383.31,2424.66,3569
2024-08-09,2424.45,2436.87,2416.95,2430.71,3276
2024-08-11,2430.71,2433.31,2426.8,2427.83,260
2024-08-12,2427.85,2475.84,2423.79,2475.32,3619
2024-08-13,2476.15,2476.72,2458.4,2463.87,3608
2024-08-14,2464.07,2478.2,2435.61,2449.26,3593
2024-08-15,2449.64,2469.7,2432.93,2457.43,3593
2024-08-16,2457.33,2509.5,2450.4,2506.76,3267
2024-08-18,2506.76,2508.9,2501.5,2506.07,259
2024-08-19,2505.98,2507.24,2485.8,2503.64,3540
2024-08-20,2503.96,2531.51,2497.44,2513.16,3426
2024-08-21,2512.75,2519.76,2495.05,2512.43,3559
2024-08-22,2512.83,2514.25,2471.13,2487.04,3558
2024-08-23,2486.85,2518.1,2486.39,2512.01,3254
2024-08-25,2512.01,2516.29,2510.4,2515.72,264
2024-08-26,2515.46,2526.54,2508.6,2515.58,3569
2024-08-27,2515.45,2528.82,2504.01,2525.07,3558
2024-08-28,2525.36,2525.59,2494.04,2507.84,3563
2024-08-29,2507.95,2528.48,2503.94,2519.37,3580
2024-08-30,2519.17,2526.7,2494.79,2502.98,3256
2024-09-01,2502.98,2505.05,2500.9,2503.08,258
2024-09-02,2502.66,2507.0,2490.24,2496.59,3181
2024-09-03,2497.18,2505.97,2474.1,2493.41,3554
2024-09-04,2493.04,2499.84,2471.95,2495.64,3321
2024-09-05,2495.76,2522.77,2492.9,2517.16,3560
2024-09-06,2517.18,2529.01,2485.1,2496.75,3244
2024-09-08,2496.75,2498.06,2494.7,2496.68,266
2024-09-09,2496.45,2507.51,2485.81,2506.69,3272
2024-09-10,2506.77,2518.66,2499.91,2518.56,3557
2024-09-11,2518.57,2528.03,2501.67,2511.9,3566
2024-09-12,2511.62,2559.9,2510.94,2557.96,3572
2024-09-13,2558.63,2585.68,2556.84,2577.38,3253
2024-09-15,2577.38,2580.35,2576.9,2578.96,270
2024-09-16,2578.99,2589.24,2576.09,2583.58,3574
2024-09-17,2583.61,2586.13,2561.1,2573.83,3569
2024-09-18,2574.07,2599.8,2547.63,2559.15,3560
2024-09-19,2559.0,2594.4,2551.46,2587.15,3545
2024-09-20,2587.22,2625.55,2584.92,2621.74,3235
2024-09-22,2621.89,2621.89,2621.89,2621.89,1
2024-09-23,2619.36,2634.56,2613.74,2626.17,3452
2024-09-24,2625.84,2664.03,2622.63,2658.03,3553
2024-09-25,2657.7,2669.7,2650.55,2656.76,3527
2024-09-26,2656.78,2685.13,2655.31,2672.57,3544
2024-09-27,2672.43,2673.82,2643.37,2657.97,3247
2024-09-29,2657.97,2664.87,2657.95,2663.48,262
2024-09-30,2663.66,2665.69,2625.25,2635.54,3562
2024-10-01,2635.47,2672.58,2633.98,2660.32,3558
2024-10-02,2660.27,2662.17,2641.89,2660.06,3572
2024-10-03,2660.47,2662.48,2640.11,2655.55,3563
2024-10-04,2655.62,2669.31,2632.11,2653.05,3240
2024-10-06,2653.05,2653.05,2649.0,2650.45,259
2024-10-07,2650.66,2659.39,2638.26,2642.84,3573
2024-10-08,2642.88,2652.61,2605.72,2621.96,3552
2024-10-09,2621.65,2624.13,2604.96,2608.16,3385
2024-10-10,2608.38,2635.25,2605.88,2632.37,3377
2024-10-11,2633.77,2661.29,2631.7,2656.85,3207
2024-10-13,2656.08,2656.08,2656.08,2656.08,1
2024-10-14,2645.21,2666.34,2643.32,2649.3,3312
2024-10-15,2649.03,2668.82,2638.34,2660.34,3488
2024-10-16,2659.97,2685.07,2658.78,2673.9,3514
